Time(sec)	Motor[9].ActPos	Motor[9].DesPos	Motor[9].iqcmd	Motor[10].ActPos	Motor[10].DesPos	Motor[10].iqcmd	Motor[11].ActPos	Motor[11].DesPos	Motor[11].iqcmd	Motor[13].ActPos	Motor[13].DesPos	Motor[13].iqcmd	Motor[14].ActPos	Motor[14].DesPos	Motor[14].iqcmd	Motor[15].ActPos	Motor[15].DesPos	Motor[15].iqcmd	Global.gWs_Welding_PosC	Global.gWs_Welding_PosX	Global.gWs_Welding_PosY	Global.gWs_Welding_VelC	Global.gWs_Welding_VelX	Global.gWs_Welding_VelY	Ptr.pUmem_Sta_ProgPos[9]	Ptr.pUmem_Sta_ProgPos[10]	Ptr.pUmem_Sta_ProgPos[11]	Ptr.pUmem_Sta_ProgPos[13]	Ptr.pUmem_Sta_ProgPos[14]	Ptr.pUmem_Sta_ProgPos[15]	Ptr.pUmem_Sta_Velocity[9]	Ptr.pUmem_Sta_Velocity[10]	Ptr.pUmem_Sta_Velocity[11]	Ptr.pUmem_Sta_Velocity[13]	Ptr.pUmem_Sta_Velocity[14]	Ptr.pUmem_Sta_Velocity[15]	Time(sec)	Motor[9] Act Position	Motor[9] Cmd Position	Motor[9] Act Velocity	Motor[9] Cmd Velocity	Motor[9] Act Acceleration	Motor[9] Cmd Acceleration	Motor[9] Following Error	Motor[9] Servo Cmd Out	Motor[10] Act Position	Motor[10] Cmd Position	Motor[10] Act Velocity	Motor[10] Cmd Velocity	Motor[10] Act Acceleration	Motor[10] Cmd Acceleration	Motor[10] Following Error	Motor[10] Servo Cmd Out	Motor[11] Act Position	Motor[11] Cmd Position	Motor[11] Act Velocity	Motor[11] Cmd Velocity	Motor[11] Act Acceleration	Motor[11] Cmd Acceleration	Motor[11] Following Error	Motor[11] Servo Cmd Out	Motor[13] Act Position	Motor[13] Cmd Position	Motor[13] Act Velocity	Motor[13] Cmd Velocity	Motor[13] Act Acceleration	Motor[13] Cmd Acceleration	Motor[13] Following Error	Motor[13] Servo Cmd Out	Motor[14] Act Position	Motor[14] Cmd Position	Motor[14] Act Velocity	Motor[14] Cmd Velocity	Motor[14] Act Acceleration	Motor[14] Cmd Acceleration	Motor[14] Following Error	Motor[14] Servo Cmd Out	Motor[15] Act Position	Motor[15] Cmd Position	Motor[15] Act Velocity	Motor[15] Cmd Velocity	Motor[15] Act Acceleration	Motor[15] Cmd Acceleration	Motor[15] Following Error	Motor[15] Servo Cmd Out	Global.gWs_Welding_PosC	Global.gWs_Welding_PosX	Global.gWs_Welding_PosY	Global.gWs_Welding_VelC	Global.gWs_Welding_VelX	Global.gWs_Welding_VelY	Ptr.pUmem_Sta_ProgPos[9]	Ptr.pUmem_Sta_ProgPos[10]	Ptr.pUmem_Sta_ProgPos[11]	Ptr.pUmem_Sta_ProgPos[13]	Ptr.pUmem_Sta_ProgPos[14]	Ptr.pUmem_Sta_ProgPos[15]	Ptr.pUmem_Sta_Velocity[9]	Ptr.pUmem_Sta_Velocity[10]	Ptr.pUmem_Sta_Velocity[11]	Ptr.pUmem_Sta_Velocity[13]	Ptr.pUmem_Sta_Velocity[14]	Ptr.pUmem_Sta_Velocity[15]	
3587124031 	320741 	320741 	-1239.3699 	1530 	1530 	-108.30963 	90760.9736175537 	90761 	73.858841 	370000 	370000 	-894.0567 	0 	0 	-2473.6177 	0.00064849853515625 	0 	75.783112 	0 	0 	0 	720 	800 	800 	5789 	-320693 	90761 	-370000 	0 	0 	0 	0 	0 	0 	0 	0 	3587124031 	320741 	320741 	-50.0008466653573 	0 	100003.38613129 	0 	0 	-1239.3699 	1530 	1530 	0 	0 	0 	0 	0 	-108.30963 	90760.9736175537 	90761 	0 	0 	21458.3985841823 	0 	0.0263824462890625 	73.858841 	370000 	370000 	0 	0 	0 	0 	0 	-894.0567 	0 	0 	-50.0008471310265 	0 	100003.387062644 	0 	0 	-2473.6177 	0.00064849853515625 	0 	21.4580353485871 	0 	-64375.1957525469 	0 	-0.00064849853515625 	75.783112 	0 	0 	0 	720 	800 	800 	5789 	-320693 	90761 	-370000 	0 	0 	0 	0 	0 	0 	0 	0 	
3587124041 	320740.95 	320741 	-1239.3699 	1530 	1530 	-108.30963 	90760.9736175537 	90761 	73.858841 	370000 	370000 	-894.0567 	-0.0500000007450581 	0 	-2473.6177 	0.0221061706542969 	0 	75.783112 	0 	0 	0 	720 	800 	800 	5789 	-320693 	90761 	-370000 	0 	0 	0 	0 	0 	0 	0 	0 	3587124041 	320740.95 	320741 	0 	0 	100003.38613129 	0 	0.0500000002793968 	-1239.3699 	1530 	1530 	0 	0 	0 	0 	0 	-108.30963 	90760.9736175537 	90761 	10.7290176742936 	0 	21458.3985841823 	0 	0.0263824462890625 	73.858841 	370000 	370000 	0 	0 	0 	0 	0 	-894.0567 	-0.0500000007450581 	0 	0 	0 	100003.387062644 	0 	0.0500000007450581 	-2473.6177 	0.0221061706542969 	0 	-10.7290176742936 	0 	-64375.1957525469 	0 	-0.0221061706542969 	75.783112 	0 	0 	0 	720 	800 	800 	5789 	-320693 	90761 	-370000 	0 	0 	0 	0 	0 	0 	0 	0 	
3587124051 	320741 	320741 	-1239.3699 	1530 	1530 	-108.30963 	90760.9950752258 	90761 	73.858841 	370000 	370000 	-894.0567 	0 	0 	-2473.6177 	-0.0208091735839844 	0 	75.783112 	0 	0 	0 	720 	800 	800 	5789 	-320693 	90761 	-370000 	0 	0 	0 	0 	0 	0 	0 	0 	3587124051 	320741 	320741 	25.0004233326786 	0 	-50001.6930656452 	0 	0 	-1239.3699 	1530 	1530 	0 	0 	0 	0 	0 	-108.30963 	90760.9950752258 	90761 	10.7290176742936 	0 	-21458.3985841823 	0 	0.00492477416992188 	73.858841 	370000 	370000 	0 	0 	0 	0 	0 	-894.0567 	0 	0 	25.0004235655132 	0 	-50001.6935313222 	0 	0 	-2473.6177 	-0.0208091735839844 	0 	0 	0 	85833.5943367292 	0 	0.0208091735839844 	75.783112 	0 	0 	0 	720 	800 	800 	5789 	-320693 	90761 	-370000 	0 	0 	0 	0 	0 	0 	0 	0 	
3587124061 	320741 	320741 	-1239.3699 	1530 	1530 	-108.30963 	90760.9950752258 	90761 	73.858841 	370000 	370000 	-894.0567 	0 	0 	-2473.6177 	0.0221061706542969 	0 	75.783112 	0 	0 	0 	720 	800 	800 	5789 	-320693 	90761 	-370000 	0 	0 	0 	0 	0 	0 	0 	27 	3587124061 	320741 	320741 	0 	0 	0 	0 	0 	-1239.3699 	1530 	1530 	-25.0004232162614 	0 	-50001.6928328067 	0 	0 	-108.30963 	90760.9950752258 	90761 	0 	0 	0 	0 	0.00492477416992188 	73.858841 	370000 	370000 	0 	0 	0 	0 	0 	-894.0567 	0 	0 	0 	0 	0 	0 	0 	-2473.6177 	0.0221061706542969 	0 	10.7290176742936 	0 	-64375.1957525469 	0 	-0.0221061706542969 	75.783112 	0 	0 	0 	720 	800 	800 	5789 	-320693 	90761 	-370000 	0 	0 	0 	0 	0 	0 	0 	27 	
3587124071 	320741 	320741 	-1239.3699 	1529.94999999995 	1530 	-108.30963 	90760.9950752258 	90761 	73.858841 	370000 	370000 	-894.0567 	0 	0 	-2473.6177 	0.00064849853515625 	0 	75.783112 	0 	0 	0 	720 	800 	800 	5789 	-320693 	90761 	-370000 	0 	0 	0 	0 	0 	0 	0 	27 	3587124071 	320741 	320741 	0 	0 	0 	0 	0 	-1239.3699 	1529.94999999995 	1530 	0 	0 	100003.385665613 	0 	0.0500000000465661 	-108.30963 	90760.9950752258 	90761 	0 	0 	0 	0 	0.00492477416992188 	73.858841 	370000 	370000 	0 	0 	0 	0 	0 	-894.0567 	0 	0 	0 	0 	0 	0 	0 	-2473.6177 	0.00064849853515625 	0 	-10.7290176742936 	0 	21458.3985841823 	0 	-0.00064849853515625 	75.783112 	0 	0 	0 	720 	800 	800 	5789 	-320693 	90761 	-370000 	0 	0 	0 	0 	0 	0 	0 	27 	
3587124081 	320741 	320741 	-1239.3699 	1530 	1530 	-108.30963 	90760.9950752258 	90761 	73.858841 	370000 	370000 	-894.0567 	0 	0 	-2473.6177 	0.00064849853515625 	0 	75.783112 	0 	0 	0 	720 	800 	800 	5789 	-320693 	90761 	-370000 	0 	0 	0 	0 	0 	0 	0 	27 	3587124081 	320741 	320741 	0 	0 	0 	0 	0 	-1239.3699 	1530 	1530 	25.0004232162614 	0 	-50001.6928328067 	0 	0 	-108.30963 	90760.9950752258 	90761 	0 	0 	0 	0 	0.00492477416992188 	73.858841 	370000 	370000 	0 	0 	0 	0 	0 	-894.0567 	0 	0 	0 	0 	0 	0 	0 	-2473.6177 	0.00064849853515625 	0 	0 	0 	0 	0 	-0.00064849853515625 	75.783112 	0 	0 	0 	720 	800 	800 	5789 	-320693 	90761 	-370000 	0 	0 	0 	0 	0 	0 	0 	27 	
3587124091 	320741 	320741 	-1239.3699 	1530 	1530 	-108.30963 	90760.9950752258 	90761 	73.858841 	370000 	370000 	-894.0567 	0 	0 	-2473.6177 	0.00064849853515625 	0 	75.783112 	0 	0 	0 	720 	800 	800 	5789 	-320693 	90761 	-370000 	0 	0 	0 	0 	0 	0 	0 	27 	3587124091 	320741 	320741 	0 	0 	0 	0 	0 	-1239.3699 	1530 	1530 	0 	0 	0 	0 	0 	-108.30963 	90760.9950752258 	90761 	0 	0 	0 	0 	0.00492477416992188 	73.858841 	370000 	370000 	0 	0 	0 	0 	0 	-894.0567 	0 	0 	0 	0 	0 	0 	0 	-2473.6177 	0.00064849853515625 	0 	0 	0 	0 	0 	-0.00064849853515625 	75.783112 	0 	0 	0 	720 	800 	800 	5789 	-320693 	90761 	-370000 	0 	0 	0 	0 	0 	0 	0 	27 	
3587124101 	320741 	320741 	-1239.3699 	1530 	1530 	-108.30963 	90760.9950752258 	90761 	73.858841 	370000 	370000 	-894.0567 	0 	0 	-2473.6177 	0.00064849853515625 	0 	75.783112 	0 	0 	0 	720 	800 	800 	5789 	-320693 	90761 	-370000 	0 	0 	0 	0 	0 	0 	0 	27 	3587124101 	320741 	320741 	0 	0 	0 	0 	0 	-1239.3699 	1530 	1530 	0 	0 	0 	0 	0 	-108.30963 	90760.9950752258 	90761 	0 	0 	0 	0 	0.00492477416992188 	73.858841 	370000 	370000 	0 	0 	0 	0 	0 	-894.0567 	0 	0 	0 	0 	0 	0 	0 	-2473.6177 	0.00064849853515625 	0 	0 	0 	0 	0 	-0.00064849853515625 	75.783112 	0 	0 	0 	720 	800 	800 	5789 	-320693 	90761 	-370000 	0 	0 	0 	0 	0 	0 	0 	27 	
3587124111 	320741 	320741 	-1239.3699 	1530 	1530 	-108.30963 	90760.9950752258 	90761 	73.858841 	370000 	370000 	-894.0567 	0 	0 	-2473.6177 	0.00064849853515625 	0 	75.783112 	0 	0 	0 	720 	800 	800 	5789 	-320693 	90761 	-370000 	0 	0 	0 	0 	0 	0 	0 	27 	3587124111 	320741 	320741 	0 	0 	0 	0 	0 	-1239.3699 	1530 	1530 	0 	0 	0 	0 	0 	-108.30963 	90760.9950752258 	90761 	0 	0 	0 	0 	0.00492477416992188 	73.858841 	370000 	370000 	0 	0 	0 	0 	0 	-894.0567 	0 	0 	0 	0 	0 	0 	0 	-2473.6177 	0.00064849853515625 	0 	0 	0 	0 	0 	-0.00064849853515625 	75.783112 	0 	0 	0 	720 	800 	800 	5789 	-320693 	90761 	-370000 	0 	0 	0 	0 	0 	0 	0 	27 	
3587124121 	320741 	320741 	-1239.3699 	1530 	1530 	-108.30963 	90760.9950752258 	90761 	73.858841 	370000 	370000 	-894.0567 	0 	0 	-2473.6177 	0.00064849853515625 	0 	75.783112 	0 	0 	0 	720 	800 	800 	5789 	-320693 	90761 	-370000 	0 	0 	0 	0 	0 	0 	0 	27 	3587124121 	320741 	320741 	0 	0 	0 	0 	0 	-1239.3699 	1530 	1530 	0 	0 	0 	0 	0 	-108.30963 	90760.9950752258 	90761 	0 	0 	0 	0 	0.00492477416992188 	73.858841 	370000 	370000 	0 	0 	0 	0 	0 	-894.0567 	0 	0 	25.0004230998441 	0 	50001.6925999681 	0 	0 	-2473.6177 	0.00064849853515625 	0 	0 	0 	0 	0 	-0.00064849853515625 	75.783112 	0 	0 	0 	720 	800 	800 	5789 	-320693 	90761 	-370000 	0 	0 	0 	0 	0 	0 	0 	27 	
